 ,Label,X,Y
1,Neuron_1,213.528,13.632
2,Neuron_2,217.095,32.934
3,Neuron_3,197.189,47.531
4,Neuron_4,218.656,59.804
5,Neuron_5,183.009,66.028
6,Neuron_6,201.683,69.045
7,Neuron_7,182.305,77.784
8,Neuron_8,227.940,85.769
9,Neuron_9,208.167,88.423
10,Neuron_10,186.793,88.499
11,Neuron_11,164.830,94.493
12,Neuron_12,231.448,100.843
13,Neuron_13,174.358,109.510
14,Neuron_14,210.705,109.786
15,Neuron_15,151.899,109.768
16,Neuron_16,192.180,115.923
17,Neuron_17,222.815,120.676
18,Neuron_18,365.632,124.852
19,Neuron_19,344.950,127.113
20,Neuron_20,142.716,133.280
21,Neuron_21,156.115,138.712
22,Neuron_22,171.960,135.622
23,Neuron_23,186.570,139.719
24,Neuron_24,325.891,139.249
25,Neuron_25,357.553,145.808
26,Neuron_26,140.067,155.499
27,Neuron_27,329.475,165.689
28,Neuron_28,116.072,173.141
29,Neuron_29,342.161,173.212
30,Neuron_30,142.468,170.415
31,Neuron_31,158.943,180.867
32,Neuron_32,143.176,194.989
33,Neuron_33,345.560,190.310
34,Neuron_34,304.292,197.119
35,Neuron_35,106.798,199.851
36,Neuron_36,315.936,200.319
37,Neuron_37,121.004,200.332
38,Neuron_38,333.033,200.340
39,Neuron_39,343.408,206.143
40,Neuron_40,89.165,214.995
41,Neuron_41,120.861,220.330
42,Neuron_42,306.564,221.175
43,Neuron_43,346.212,220.605
44,Neuron_44,102.206,222.305
45,Neuron_45,73.110,224.494
46,Neuron_46,77.598,237.661
47,Neuron_47,330.840,243.113
48,Neuron_48,122.732,239.190
49,Neuron_49,101.917,242.943
50,Neuron_50,302.134,245.713
51,Neuron_51,54.141,244.300
52,Neuron_52,275.206,247.575
53,Neuron_53,85.010,250.540
54,Neuron_54,42.920,260.717
55,Neuron_55,261.330,263.345
56,Neuron_56,299.530,268.925
57,Neuron_57,266.766,279.262
58,Neuron_58,64.862,276.409
59,Neuron_59,33.334,278.762
60,Neuron_60,295.220,285.320
61,Neuron_61,48.043,296.516
62,Neuron_62,30.630,300.273
63,Neuron_63,278.742,305.882
64,Neuron_64,241.329,314.367
65,Neuron_65,214.841,318.857
66,Neuron_66,263.170,319.433
67,Neuron_67,172.575,320.731
68,Neuron_68,194.085,323.577
69,Neuron_69,244.480,334.870
70,Neuron_70,270.797,340.101
71,Neuron_71,175.636,339.680
72,Neuron_72,256.682,347.123
73,Neuron_73,199.867,344.145
74,Neuron_74,224.526,343.886
75,Neuron_75,214.119,346.622
76,Neuron_76,244.439,351.305
77,Neuron_77,230.490,354.086
78,Neuron_78,216.441,355.950
79,Neuron_79,150.035,359.710
80,Neuron_80,167.789,366.681
81,Neuron_81,190.534,363.994
82,Neuron_82,206.338,364.083
83,Neuron_83,139.940,376.794
